GENE_ID,GENE_NAME,UMLS_ID,UMLS_NAME,UNIPROT_GENE_NAME,NCBI_GENE_ID
4939,plcb,,,plcb,
4940,ts,,,ts,
4941,ccnk,,,ccnk,
4942,pyka,,,pyka,
4943,pvps,,,pvps,
4944,gm18818,,,gm18818,
4945,sntg1,,,sntg1,
4946,abraxas1,,,abraxas1,
4947,pa0034,,,pa0034,
4948,influenza B virus antigen,C1291843,influenza B virus antigen,,
4949,iacp,,,iacp,
4950,fchsd2,,,fchsd2,
4951,crcp,,,crcp,
4952,aod-1,,,aod-1,
4953,ppp2r2a,,,ppp2r2a,
4954,dhc5,,,dhc5,
4955,gatb,,,gatb,
4956,pho1,,,pho1,
4957,nmbr,,,nmbr,
4958,rorc,,,rorc,
4959,zfyve21,,,zfyve21,
4960,"DNA Repair Enzymes| LIG4 protein, human| DNA Ligase ATP| LIG4 gene",C1258083,"DNA Repair Enzymes| LIG4 protein, human| DNA Ligase ATP| LIG4 gene",,
4961,mlst8,,,mlst8,
4962,atf7ip,,,atf7ip,
4963,pr4a,,,pr4a,
4964,cdk5rap1,,,cdk5rap1,
4965,rtn3,,,rtn3,
4966,cmom,,,cmom,
4967,"Receptors, Nuclear",C0206588,"Receptors, Nuclear",,
4968,nae1,,,nae1,
4969,MAP Kinase Kinase 4,C0291988,MAP Kinase Kinase 4,,
4970,bicd2,,,bicd2,
4971,burs124,,,burs124,
4972,flj00380,,,flj00380,
4973,cyp21a2,,,cyp21a2,
4974,akr1b8,,,akr1b8,
4975,hoga1,,,hoga1,
4976,kcnn3,,,kcnn3,
4977,ei24,,,ei24,
4978,ncl,,,ncl,
4979,dhodh,,,dhodh,
4980,aptx,,,aptx,
4981,rps5,,,rps5,
4982,thrombin alfa,C2240523,thrombin alfa,,
4983,fet3,,,fet3,
4984,tamalin,,,tamalin,
4985,p2ry1,,,p2ry1,
4986,sdsl,,,sdsl,
4987,dkfzp761n1814,,,dkfzp761n1814,
4988,dole_2039,,,dole_2039,
4989,itch,,,itch,
4990,ayt1,,,ayt1,
4991,mab_0027c,,,mab_0027c,
4992,lsm2,,,lsm2,
4993,capzb,,,capzb,
4994,p/c,,,p/c,
4995,pig60,,,pig60,
4996,ubxn2b,,,ubxn2b,
4997,eupa,,,eupa,
4998,psba3,,,psba3,
4999,lypd1,,,lypd1,
5000,mbtps2,,,mbtps2,
5001,"Angiotensin-2, Human| AGT gene| AGXT gene| VPS51 gene| ANGPT2 gene",C3714928,"Angiotensin-2, Human| AGT gene| AGXT gene| VPS51 gene| ANGPT2 gene",,
5002,nlp-40,,,nlp-40,
5003,dcps,,,dcps,
5004,dkc1,,,dkc1,
5005,saouhsc_00995,,,saouhsc_00995,
5006,crtam,,,crtam,
5007,eif4b,,,eif4b,
5008,opep-2,,,opep-2,
5009,"Genes, bcl-1",C0525036,"Genes, bcl-1",,
5010,catalytic receptors,C0682971,catalytic receptors,,
5011,zk1290.5,,,zk1290.5,
5012,us6,,,us6,
5013,hel-s-2a,,,hel-s-2a,
5014,gpr26,,,gpr26,
5015,his4:cg33889,,,his4:cg33889,
5016,cartpt,,,cartpt,
5017,dkfzp686i24235,,,dkfzp686i24235,
5018,fgf1,,,fgf1,
5019,kcnd2,,,kcnd2,
5020,butyloxycarbonyl-aspartyl-fluoromethyl ketone,C0963132,butyloxycarbonyl-aspartyl-fluoromethyl ketone,,
5021,hh4-1,,,hh4-1,
5022,glnf,,,glnf,
5023,nr2f1,,,nr2f1,
5024,washc1,,,washc1,
5025,armgadraft_1018420,,,armgadraft_1018420,
5026,psrp1,,,psrp1,
5027,pgs1,,,pgs1,
5028,usp29,,,usp29,
5029,foxr1,,,foxr1,
5030,aff1,,,aff1,
5031,grin3a,,,grin3a,
5032,Phosphorylase a,C0031709,Phosphorylase a,,
5033,etnk2,,,etnk2,
5034,ftcd,,,ftcd,
5035,aminosalicylic acid| gastrin 17 vaccine,C0935889,aminosalicylic acid| gastrin 17 vaccine,,
5036,set-17,,,set-17,
5037,MSH2 wt Allele,C1705266,MSH2 wt Allele,,
5038,beta-galiii,,,beta-galiii,
5039,seth3,,,seth3,
5040,sodium glutamate,C0037511,sodium glutamate,,
5041,aicda,,,aicda,
5042,ier2,,,ier2,
5043,folm,,,folm,
5044,cd163l1,,,cd163l1,
5045,substance P (6-11),C0075400,substance P (6-11),,
5046,Bradykinin B2 Receptor,C0914912,Bradykinin B2 Receptor,,
5047,bn863_22160,,,bn863_22160,
5048,ache,,,ache,
5049,dtnb,,,dtnb,
5050,verl,,,verl,
5051,hikeshi,,,hikeshi,
5052,rbmx,,,rbmx,
5053,mgat4c,,,mgat4c,
5054,spag11a,,,spag11a,
5055,hel-s-28,,,hel-s-28,
5056,flj00340,,,flj00340,
5057,dotsedraft_139328,,,dotsedraft_139328,
5058,kcns2,,,kcns2,
5059,Horseradish Peroxidase,C0019941,Horseradish Peroxidase,,
5060,als2,,,als2,
5061,kmt5aa,,,kmt5aa,
5062,ms4a6a,,,ms4a6a,
5063,xkr3,,,xkr3,
5064,lega,,,lega,
5065,scgb1a1,,,scgb1a1,
5066,cdmc,,,cdmc,
5067,adtrp,,,adtrp,
5068,pigk,,,pigk,
5069,artocarpin lectin,C0104264,artocarpin lectin,,
5070,khsrp,,,khsrp,
5071,or4d1,,,or4d1,
5072,his3:cg33836,,,his3:cg33836,
5073,htr2a,,,htr2a,
5074,pold1,,,pold1,
5075,ifi27,,,ifi27,
5076,hic1,,,hic1,
5077,milr1,,,milr1,
5078,ilvb2,,,ilvb2,
5079,dmgdh,,,dmgdh,
5080,sox9,,,sox9,
5081,psmd11,,,psmd11,
5082,ooxa,,,ooxa,
5083,pcgf6,,,pcgf6,
5084,il21,,,il21,
5085,aael009368,,,aael009368,
5086,ddes_1951,,,ddes_1951,
5087,Histone H3 Trimethyl Lys28,C5420594,Histone H3 Trimethyl Lys28,,
5088,his2b:cg33880,,,his2b:cg33880,
5089,poxf,,,poxf,
5090,hel-s-49,,,hel-s-49,
5091,cimip2b,,,cimip2b,
5092,cd320,,,cd320,
5093,glic,,,glic,
5094,ska3,,,ska3,
5095,ythdf2,,,ythdf2,
5096,mcf2,,,mcf2,
5097,ncor1,,,ncor1,
5098,chi3l1,,,chi3l1,
5099,novu,,,novu,
5100,CLK1 gene| CDC-like kinase 1,C0962157,CLK1 gene| CDC-like kinase 1,,
5101,krt81,,,krt81,
5102,elo-1,,,elo-1,
5103,fbxo3,,,fbxo3,
5104,Amino Acid Transport System A,C0916197,Amino Acid Transport System A,,
5105,ispd1,,,ispd1,
5106,aat2,,,aat2,
5107,papss2,,,papss2,
5108,dlg3,,,dlg3,
5109,ntc1,,,ntc1,
5110,ttc12,,,ttc12,
5111,ao090701000729,,,ao090701000729,
5112,his2b:cg33868,,,his2b:cg33868,
5113,pbd1,,,pbd1,
5114,wdr26,,,wdr26,
5115,sh3kbp1,,,sh3kbp1,
5116,tdrp,,,tdrp,
5117,gcnt1,,,gcnt1,
5118,krt24,,,krt24,
5119,"ARID1A wt Allele| ARID1A protein, human| ARID1A gene",C0675390,"ARID1A wt Allele| ARID1A protein, human| ARID1A gene",,
5120,cbx3,,,cbx3,
5121,cina,,,cina,
5122,nup58,,,nup58,
5123,pc-20,,,pc-20,
5124,ppil1,,,ppil1,
5125,MALAT1 wt Allele| MALAT1 gene,C1537647,MALAT1 wt Allele| MALAT1 gene,,
5126,kcnq4,,,kcnq4,
5127,psme4,,,psme4,
5128,adgra3,,,adgra3,
5129,pbsa,,,pbsa,
5130,npffr2,,,npffr2,
5131,l10,,,l10,
5132,mav_4442,,,mav_4442,
5133,olig2,,,olig2,
5134,asmt,,,asmt,
5135,,,,,100169756
5136,med15,,,med15,
5137,mrtfa,,,mrtfa,
5138,vpreb1,,,vpreb1,
5139,brsk2,,,brsk2,
5140,col25a1,,,col25a1,
5141,gtng_2476,,,gtng_2476,
5142,opn1mw,,,opn1mw,
5143,kcnj18,,,kcnj18,
5144,hel-s-64p,,,hel-s-64p,
5145,algi,,,algi,
5146,cd19,,,cd19,
5147,arid3a,,,arid3a,
5148,trm5,,,trm5,
5149,mma_3618,,,mma_3618,
5150,myh11,,,myh11,
5151,cdk105,,,cdk105,
5152,clmp,,,clmp,
5153,ube2g2,,,ube2g2,
5154,ube3a,,,ube3a,
5155,itga7 variant protein,,,itga7 variant protein,
5156,psr-1,,,psr-1,
5157,SLC1A5 wt Allele| SLC1A5 gene,C3889386,SLC1A5 wt Allele| SLC1A5 gene,,
5158,gcnt2,,,gcnt2,
5159,dltc,,,dltc,
5160,rpob,,,rpob,
5161,hel-s-310,,,hel-s-310,
5162,trib3,,,trib3,
5163,gwch70_2477,,,gwch70_2477,
5164,ycck,,,ycck,
5165,hel-s-132p,,,hel-s-132p,
5166,elac2,,,elac2,
5167,at1g06690,,,at1g06690,
5168,iboc,,,iboc,
5169,gkn1,,,gkn1,
5170,adss-1,,,adss-1,
5171,gpha2,,,gpha2,
5172,kcna5,,,kcna5,
5173,cdr2,,,cdr2,
5174,,,,,4
5175,gap43,,,gap43,
5176,tnpo2 variant protein,,,tnpo2 variant protein,
5177,fomt2,,,fomt2,
5178,fezf1,,,fezf1,
5179,Phosphotyrosine,C0070948,Phosphotyrosine,,
5180,hoxr,,,hoxr,
5181,caps2,,,caps2,
5182,azoreductase,C0052819,azoreductase,,
5183,Protein Isoforms,C0597298,Protein Isoforms,,
5184,mdk,,,mdk,
5185,Sphingosine-1-Phosphate Receptor 1| S1PR1 gene,C0291188,Sphingosine-1-Phosphate Receptor 1| S1PR1 gene,,
5186,elovl4,,,elovl4,
5187,b1,,,b1,
5188,cich,,,cich,
5189,poli,,,poli,
5190,edaradd,,,edaradd,
5191,antitumor A,C2716992,antitumor A,,
5192,sox5,,,sox5,
5193,NF-kappa B| NFKB1 gene| NFKB1 wt Allele,C0079904,NF-kappa B| NFKB1 gene| NFKB1 wt Allele,,
5194,or7c2,,,or7c2,
5195,Glycogen Synthase Kinases,C0206354,Glycogen Synthase Kinases,,
5196,txnip,,,txnip,
5197,Pregnant Mare Serum Gonadotropins,C1136247,Pregnant Mare Serum Gonadotropins,,
5198,mdcg,,,mdcg,
5199,opaf,,,opaf,
5200,arb_04747,,,arb_04747,
5201,rbm12,,,rbm12,
5202,myl12b,,,myl12b,
5203,cxnb,,,cxnb,
5204,rab40al,,,rab40al,
5205,proline,C0033382,proline,,
5206,pmpb,,,pmpb,
5207,or2a2,,,or2a2,
5208,rbmy1a1,,,rbmy1a1,
5209,sc4,,,sc4,
5210,lmof2365_0202,,,lmof2365_0202,
5211,pum3,,,pum3,
5212,tslp,,,tslp,
5213,pona,,,pona,
5214,ufsp2,,,ufsp2,
5215,pc20g03200,,,pc20g03200,
5216,poxg,,,poxg,
5217,ctrb1,,,ctrb1,
5218,ptgr1,,,ptgr1,
5219,kdm4e,,,kdm4e,
5220,beta-lactamase BcII,C1136553,beta-lactamase BcII,,
5221,benzothiazepine receptor,C0053244,benzothiazepine receptor,,
5222,ctb7,,,ctb7,
5223,taar9,,,taar9,
5224,rplb,,,rplb,
5225,RNA-Directed RNA Polymerase,C0035685,RNA-Directed RNA Polymerase,,
5226,gm19736,,,gm19736,
5227,qpctl,,,qpctl,
5228,yjgm,,,yjgm,
5229,hpn,,,hpn,
5230,ptprz1,,,ptprz1,
5231,htr3a,,,htr3a,
5232,mtxh,,,mtxh,
5233,ung,,,ung,
5234,tnn,,,tnn,
5235,"transforming growth factor beta 1| TGFB1 protein, human| TGFB1 gene| Recombinant Transforming Growth Factor-Beta 1",C0080222,"transforming growth factor beta 1| TGFB1 protein, human| TGFB1 gene| Recombinant Transforming Growth Factor-Beta 1",,
5236,gda,,,gda,
5237,benx,,,benx,
5238,"deltorphin II, Ala(2)-",C0057358,"deltorphin II, Ala(2)-",,
5239,tmem138,,,tmem138,
5240,vpx,,,vpx,
5241,tgl,,,tgl,
5242,fasn,,,fasn,
5243,are1,,,are1,
5244,pcdh7,,,pcdh7,
5245,gg12581,,,gg12581,
5246,c7m84_013542,,,c7m84_013542,
5247,znf358,,,znf358,
5248,adamts8,,,adamts8,
5249,elovl1,,,elovl1,
5250,tssk6,,,tssk6,
5251,mfng,,,mfng,
5252,dr1,,,dr1,
5253,mars2,,,mars2,
5254,scn1a,,,scn1a,
5255,bcenmc03_0095,,,bcenmc03_0095,
5256,alyref,,,alyref,
5257,rbmy1f,,,rbmy1f,
5258,bmp8b,,,bmp8b,
5259,his-31,,,his-31,
5260,krt14,,,krt14,
5261,chn2,,,chn2,
5262,siglec15,,,siglec15,
5263,ispf,,,ispf,
5264,p2ox,,,p2ox,
5265,gbf1,,,gbf1,
5266,mtca1,,,mtca1,
5267,gli1,,,gli1,
5268,D-Alanine-D-alanine ligase,C0057043,D-Alanine-D-alanine ligase,,
5269,"Matrix Metalloproteinase 3| MMP3 protein, human| MMP3 wt Allele| SL-1 pigment| MMP3 gene| SDCBP wt Allele, Human",C1723257,"Matrix Metalloproteinase 3| MMP3 protein, human| MMP3 wt Allele| SL-1 pigment| MMP3 gene| SDCBP wt Allele, Human",,
5270,Hepatitis B Vaccines,C2240392,Hepatitis B Vaccines,,
5271,smlt1146,,,smlt1146,
5272,prrc2b,,,prrc2b,
5273,auh,,,auh,
5274,tppp,,,tppp,
5275,dnajc5,,,dnajc5,
5276,cdma,,,cdma,
5277,tmed3,,,tmed3,
5278,"GUCY2C wt Allele| GUCY2C protein, human| STAR gene| Enterotoxin Receptor| GUCY2C gene",C1451001,"GUCY2C wt Allele| GUCY2C protein, human| STAR gene| Enterotoxin Receptor| GUCY2C gene",,
5279,Melatonin Receptors,C0065911,Melatonin Receptors,,
5280,rps7,,,rps7,
5281,sirpa,,,sirpa,
5282,gtf2a2,,,gtf2a2,
5283,efna1,,,efna1,
5284,pole2,,,pole2,
5285,crip1,,,crip1,
5286,arginyllysine,C0535233,arginyllysine,,
5287,hdac4,,,hdac4,
5288,pyne,,,pyne,
5289,ateg_03629,,,ateg_03629,
5290,at1g77260,,,at1g77260,
5291,gm13186,,,gm13186,
5292,polr1c,,,polr1c,
5293,cd36_09080,,,cd36_09080,
5294,Peptide Hydrolases| Endopeptidases,C0030940,Peptide Hydrolases| Endopeptidases,,
5295,ubxn11,,,ubxn11,
5296,his4:cg31611,,,his4:cg31611,
5297,dlat,,,dlat,
5298,prss16,,,prss16,
5299,bclaf1,,,bclaf1,
5300,phqo,,,phqo,
5301,olfm4,,,olfm4,
5302,akna,,,akna,
5303,iwf1',,,iwf1',
5304,defb105b,,,defb105b,
5305,prpf19,,,prpf19,
5306,pfi0700c,,,pfi0700c,
5307,rpl7,,,rpl7,
5308,mbd2,,,mbd2,
5309,sels,,,sels,
5310,map3k20,,,map3k20,
5311,hibadh,,,hibadh,
5312,ptpmt1,,,ptpmt1,
5313,uhd1,,,uhd1,
5314,f2rl2,,,f2rl2,
5315,haspin,,,haspin,
5316,"AMD1 protein, human| AMD1 wt Allele| AMD1 gene",C4278213,"AMD1 protein, human| AMD1 wt Allele| AMD1 gene",,
5317,kcnh6,,,kcnh6,
5318,cyp205,,,cyp205,
5319,d12,,,d12,
5320,Wild Type,C1883559,Wild Type,,
5321,hif1an,,,hif1an,
5322,h4c14,,,h4c14,
5323,rhof,,,rhof,
5324,itga6,,,itga6,
5325,b4galnt2,,,b4galnt2,
5326,hsd17b4,,,hsd17b4,
5327,onecut1,,,onecut1,
5328,rb1,,,rb1,
5329,cryaa,,,cryaa,
5330,dmt,,,dmt,
5331,icab,,,icab,
5332,atoh7,,,atoh7,
5333,abg,,,abg,
5334,myoz1,,,myoz1,
5335,gcsh,,,gcsh,
5336,bcam,,,bcam,
5337,rv3401,,,rv3401,
5338,or1c1,,,or1c1,
5339,kcnh4,,,kcnh4,
5340,omp,,,omp,
5341,mxra8,,,mxra8,
5342,LMNA wt Allele| ZMPSTE24 gene| LMNA gene| ROBO3 gene| ROBO3 wt Allele,C1881349,LMNA wt Allele| ZMPSTE24 gene| LMNA gene| ROBO3 gene| ROBO3 wt Allele,,
5343,fma2,,,fma2,
5344,crlf1,,,crlf1,
5345,acp2,,,acp2,
5346,"AURKB protein, human| AURKB gene| SLC45A2 wt Allele| AURKB wt Allele| SLC45A2 gene",C3711547,"AURKB protein, human| AURKB gene| SLC45A2 wt Allele| AURKB wt Allele| SLC45A2 gene",,
5347,hisn7,,,hisn7,
5348,abt1,,,abt1,
5349,c6orf79,,,c6orf79,
5350,mab21l1,,,mab21l1,
5351,ppp1r8,,,ppp1r8,
5352,rab8a,,,rab8a,
5353,dppa2,,,dppa2,
5354,rab10,,,rab10,
5355,hycc1,,,hycc1,
5356,doc-1r,,,doc-1r,
5357,anpep,,,anpep,
5358,lnad,,,lnad,
5359,fet5,,,fet5,
5360,kcnc2,,,kcnc2,
5361,Phosphorylated Histone H2AX,C4331007,Phosphorylated Histone H2AX,,
5362,cbx4,,,cbx4,
5363,gabpb1,,,gabpb1,
5364,vldlr,,,vldlr,
5365,gdf15,,,gdf15,
5366,pdxdc1,,,pdxdc1,
5367,hla-a,,,hla-a,
5368,hel-s-11,,,hel-s-11,
5369,lmod1,,,lmod1,
5370,ptprb,,,ptprb,
5371,sar0937,,,sar0937,
5372,glcci1,,,glcci1,
5373,kpg_011,,,kpg_011,
5374,col5a2,,,col5a2,
5375,aag1,,,aag1,
5376,alanylaspartic acid,C0525815,alanylaspartic acid,,
5377,dkfzp686o15119,,,dkfzp686o15119,
5378,set-23,,,set-23,
5379,Glycoside Hydrolases,C0017976,Glycoside Hydrolases,,
5380,igfbp1,,,igfbp1,
5381,hepc,,,hepc,
5382,tsa1,,,tsa1,
5383,cazm,,,cazm,
5384,slc11a1,,,slc11a1,
5385,pskh2,,,pskh2,
5386,raf1,,,raf1,
5387,sash3,,,sash3,
5388,cpb2,,,cpb2,
5389,klk5,,,klk5,
5390,mideas,,,mideas,
5391,agap2,,,agap2,
5392,"Fusion Proteins, bcr-abl",C0004891,"Fusion Proteins, bcr-abl",,
5393,dedd,,,dedd,
5394,clybl,,,clybl,
5395,Amino Acids,C0002520,Amino Acids,,
5396,mvan_1346,,,mvan_1346,
5397,ob0768,,,ob0768,
5398,Vasopressin V2 Receptor,C0162829,Vasopressin V2 Receptor,,
5399,ckmt2,,,ckmt2,
5400,ptla,,,ptla,
5401,phi32_20,,,phi32_20,
5402,bloc1s1,,,bloc1s1,
5403,mmp3,,,mmp3,
5404,nodz,,,nodz,
5405,valyltyrosine,C0961113,valyltyrosine,,
5406,cytochrome P-450 CYP2B4 (rabbit),C0010772,cytochrome P-450 CYP2B4 (rabbit),,
5407,at2g39750,,,at2g39750,
5408,DNA Restriction Enzymes,C0012906,DNA Restriction Enzymes,,
5409,bcg_3469,,,bcg_3469,
5410,anef,,,anef,
5411,ddx46,,,ddx46,
5412,FTI 276,C0912062,FTI 276,,
5413,sincalide,C0037167,sincalide,,
5414,Tosylarginine Methyl Ester,C0040494,Tosylarginine Methyl Ester,,
5415,col13a1,,,col13a1,
5416,senp6,,,senp6,
5417,yidc,,,yidc,
5418,phqn,,,phqn,
5419,sema4c,,,sema4c,
5420,inmt,,,inmt,
5421,platelet protein P47| PLEK gene,C0071246,platelet protein P47| PLEK gene,,
5422,"NOS1 protein, human| Nitric Oxide Synthase Type I| NOS1 wt Allele| NOS1 gene",C0907533,"NOS1 protein, human| Nitric Oxide Synthase Type I| NOS1 wt Allele| NOS1 gene",,
5423,rdx,,,rdx,
5424,gpr150,,,gpr150,
5425,rpl4,,,rpl4,
5426,sun4,,,sun4,
5427,ppp1r12a,,,ppp1r12a,
5428,sprr1a,,,sprr1a,
5429,slr0955,,,slr0955,
5430,ripa,,,ripa,
5431,dpcha,,,dpcha,
5432,pex11a,,,pex11a,
5433,magea5p,,,magea5p,
5434,bnip1,,,bnip1,
5435,nsrq,,,nsrq,
5436,fveg_08287,,,fveg_08287,
5437,fox2,,,fox2,
5438,tcirg1,,,tcirg1,
5439,dpp7,,,dpp7,
5440,ml1794,,,ml1794,
5441,Peptide Initiation Factors,C0030943,Peptide Initiation Factors,,
5442,an03g02430,,,an03g02430,
5443,gsr,,,gsr,
5444,wipi1,,,wipi1,
5445,dkfzp451n061,,,dkfzp451n061,
5446,acin1,,,acin1,
5447,r05d3.12,,,r05d3.12,
5448,agpat1,,,agpat1,
5449,atxn10,,,atxn10,
5450,eral1,,,eral1,
5451,ptaj,,,ptaj,
5452,pfdn1,,,pfdn1,
5453,panx2,,,panx2,
5454,slc8a3,,,slc8a3,
5455,dock10,,,dock10,
5456,acna,,,acna,
5457,h4-vi,,,h4-vi,
5458,pggt1b,,,pggt1b,
5459,pxpb,,,pxpb,
5460,Calcitonin-Gene Related Peptide Receptor,C0108066,Calcitonin-Gene Related Peptide Receptor,,
5461,exoenzyme S,C1100460,exoenzyme S,,
5462,"Receptors, Thyrotropin-Releasing Hormone| TRHR gene",C0076642,"Receptors, Thyrotropin-Releasing Hormone| TRHR gene",,
5463,hagh,,,hagh,
5464,F-Met-Leu-Phe,C3489445,F-Met-Leu-Phe,,
5465,fxyd1,,,fxyd1,
5466,mpag,,,mpag,
5467,prss35,,,prss35,
5468,dpasa,,,dpasa,
5469,smarca4,,,smarca4,
5470,couo,,,couo,
5471,xoat11,,,xoat11,
5472,bdcg_05907,,,bdcg_05907,
5473,angptl8,,,angptl8,
5474,asic2,,,asic2,
5475,cgox,,,cgox,
5476,pou4f3,,,pou4f3,
5477,chd1,,,chd1,
5478,podxl2,,,podxl2,
5479,rps10,,,rps10,
5480,hes5,,,hes5,
5481,ebi_22768,,,ebi_22768,
5482,c1orf51,,,c1orf51,
5483,atnm,,,atnm,
5484,an1597,,,an1597,
5485,"CD58 wt Allele| Lymphocyte Function-Associated Antigen 3, human| AGR3 wt Allele| AGR3 protein, human",C1175290,"CD58 wt Allele| Lymphocyte Function-Associated Antigen 3, human| AGR3 wt Allele| AGR3 protein, human",,
5486,calm1,,,calm1,
5487,entd,,,entd,
5488,trgjp2,,,trgjp2,
5489,Dual-Specificity Phosphatases,C1956000,Dual-Specificity Phosphatases,,
5490,gpr153,,,gpr153,
5491,rv0793,,,rv0793,
5492,rp9,,,rp9,
5493,mite extract,C0771875,mite extract,,
5494,snr-2,,,snr-2,
5495,il4i1,,,il4i1,
5496,fbln5,,,fbln5,
5497,cnmd,,,cnmd,
5498,glycyllysine,C0617032,glycyllysine,,
5499,mal-042,,,mal-042,
5500,aspartic acid receptor,C0052536,aspartic acid receptor,,
5501,ephx4,,,ephx4,
5502,Plant Growth Regulators,C0032082,Plant Growth Regulators,,
5503,mt3509,,,mt3509,
5504,gpr82,,,gpr82,
5505,ndufaf1,,,ndufaf1,
5506,rtraf,,,rtraf,
5507,yju2,,,yju2,
5508,rv0687,,,rv0687,
5509,"ASAH2 protein, human| ASAH2 wt Allele| ASAH2 gene",C1570403,"ASAH2 protein, human| ASAH2 wt Allele| ASAH2 gene",,
5510,tum1,,,tum1,
5511,Multidrug Resistance Gene| Multidrug Resistance-Associated Proteins| ABCC1 gene,C0290741,Multidrug Resistance Gene| Multidrug Resistance-Associated Proteins| ABCC1 gene,,
5512,lats1,,,lats1,
5513,muxa,,,muxa,
5514,atp7a,,,atp7a,
5515,ap2b1,,,ap2b1,
5516,primpol,,,primpol,
5517,ccrm,,,ccrm,
5518,igll1,,,igll1,
5519,tnnt2,,,tnnt2,
5520,rps10-nudt3,,,rps10-nudt3,
5521,la_0098,,,la_0098,
5522,qct,,,qct,
5523,tff2,,,tff2,
5524,ucsf,,,ucsf,
5525,cacna1g,,,cacna1g,
5526,fmr1,,,fmr1,
5527,cltrn,,,cltrn,
5528,spbc1773.06c,,,spbc1773.06c,
5529,desi1,,,desi1,
5530,l2,,,l2,
5531,dsc2,,,dsc2,
5532,sapropterin| Tetrahydrobiopterin,C0048897,sapropterin| Tetrahydrobiopterin,,
5533,pitg_04698,,,pitg_04698,
5534,caz,,,caz,
5535,atp6ap2,,,atp6ap2,
5536,clic1,,,clic1,
5537,bammc406_0076,,,bammc406_0076,
5538,capns2,,,capns2,
5539,dep5,,,dep5,
5540,"IL1A gene| IL1A protein, human| interleukin-1 alpha",C1702299,"IL1A gene| IL1A protein, human| interleukin-1 alpha",,
5541,strbp,,,strbp,
5542,mvp,,,mvp,
5543,bmal2,,,bmal2,
5544,orf17,,,orf17,
5545,colq,,,colq,
5546,"CSK Tyrosine-Protein Kinase| CSK protein, human| CSK gene",C4759935,"CSK Tyrosine-Protein Kinase| CSK protein, human| CSK gene",,
5547,timm8b,,,timm8b,
5548,ezh2,,,ezh2,
5549,rax2,,,rax2,
5550,csul,,,csul,
5551,setd4,,,setd4,
5552,Cyclic AMP Response Element,C1511573,Cyclic AMP Response Element,,
5553,slc38a5,,,slc38a5,
5554,"MMP11 protein, human| MMP11 wt Allele",C1706555,"MMP11 protein, human| MMP11 wt Allele",,
5555,vva0294,,,vva0294,
5556,hars2,,,hars2,
5557,hel-s-8a,,,hel-s-8a,
5558,rib4,,,rib4,
5559,adpgk,,,adpgk,
5560,acx4,,,acx4,
5561,chib,,,chib,
5562,il16,,,il16,
5563,SDHB wt Allele,C3273618,SDHB wt Allele,,
5564,exosc6,,,exosc6,
5565,deoa,,,deoa,
5566,opep-3,,,opep-3,
5567,glne,,,glne,
5568,rv3787c,,,rv3787c,
5569,aco2,,,aco2,
5570,eys,,,eys,
5571,pret-105,,,pret-105,
5572,thapsdraft_2779,,,thapsdraft_2779,
5573,csnk2b,,,csnk2b,
5574,DnaB Helicases,C0114667,DnaB Helicases,,
5575,cgee,,,cgee,
5576,gng12,,,gng12,
5577,BCG Vaccine,C0004886,BCG Vaccine,,
5578,cc_0027,,,cc_0027,
5579,atg9a,,,atg9a,
5580,flnc,,,flnc,
5581,scap2,,,scap2,
5582,h2ac21,,,h2ac21,
5583,fam50b,,,fam50b,
5584,mphosph10,,,mphosph10,
5585,pole4,,,pole4,
5586,ymfi,,,ymfi,
5587,Gene Clusters,C0017258,Gene Clusters,,
5588,fyb2,,,fyb2,
5589,wdr3,,,wdr3,
5590,"SGCB gene| Soluble Guanylate Cyclase, human| soluble guanylyl cyclase",C4082850,"SGCB gene| Soluble Guanylate Cyclase, human| soluble guanylyl cyclase",,
5591,bameg_4640,,,bameg_4640,
5592,galnt6,,,galnt6,
5593,psmb2,,,psmb2,
5594,cybb,,,cybb,
5595,dmpk,,,dmpk,
5596,ap3d1,,,ap3d1,
5597,srcin1,,,srcin1,
5598,trxa,,,trxa,
5599,kiaa0753,,,kiaa0753,
5600,defb125,,,defb125,
5601,stac2,,,stac2,
5602,succinyl-leucyl-leucyl-valyl-tyrosyl-methylcoumarinamide,C0143954,succinyl-leucyl-leucyl-valyl-tyrosyl-methylcoumarinamide,,
5603,adamts7,,,adamts7,
5604,ndmd,,,ndmd,
5605,cl1,,,cl1,
5606,or2a5,,,or2a5,
5607,mala,,,mala,
5608,alt11b,,,alt11b,
5609,mettl1,,,mettl1,
5610,nf2,,,nf2,
5611,FDXR gene| AKR1B1 wt Allele,C4521369,FDXR gene| AKR1B1 wt Allele,,
5612,msrb2,,,msrb2,
5613,cysltr1,,,cysltr1,
5614,bc_5208,,,bc_5208,
5615,rxra,,,rxra,
5616,Genome,C0017428,Genome,,
5617,CA 074,C0130296,CA 074,,
5618,sh3glb2,,,sh3glb2,
5619,ptx3,,,ptx3,
5620,gdpgp1,,,gdpgp1,
5621,taf8,,,taf8,
5622,sorbs1,,,sorbs1,
5623,comtl2,,,comtl2,
5624,pip5k1b,,,pip5k1b,
5625,swit_4046,,,swit_4046,
5626,rbm33,,,rbm33,
5627,paa1,,,paa1,
5628,mtn2,,,mtn2,
5629,agpat4,,,agpat4,
5630,kit,,,kit,
